instance,lb,bks,time
A1,218.2,218.2,0
A2,246.6,246.6,0
A3,305.8,305.9,0
A4,186.9,186.9,0
A5,189.5,189.5,0
A6,200.1,200.1,0
A7,225.4,225.4,0
A8,232,232,0
A9,222.3,222.3,0
A10,225,225,0
B1,378.7,431.13,58.1
B2,427.9,476.05,9.1
B3,391.2,399.2,36000
B4,330.4,432.35,17.4
B5,311,369.44,86.9
B6,274.2,531.91,96.5
B7,310.6,328.67,17.9
B8,332.4,357.68,67.4
B9,293.7,403.8,36000
B10,381,469.58,147.1
C1,401.1,1006.72,984.7
C2,314.9,597.06,185.9
C3,323.5,618.29,298.5
C4,329.4,544.59,81.1
C5,404.2,667.45,158.7
C6,308.2,852.04,790
C7,315.7,525.19,421.7
C8,336.3,479.41,394.4
C9,306.5,568.85,465.6
C10,386.4,603.48,321.5
D1,456.7,1301.01,1649.4
D2,336.8,807.25,764.8
D3,355.7,675.33,1563.5
D4,379.9,817.83,1331.1
D5,372.2,706.77,823.3
D6,368.8,762.33,1058.3
D7,333.4,671.7,720.7
D8,373.3,717.26,750.2
D9,362.4,739.63,228.6
D10,434.4,1306.6,3
E1,406,1349.19,4864
E2,411.9,941.35,3654.2
E3,437.2,913.45,2506
E4,384.3,851.4,4332.1
E5,392.4,905.41,5035.1
E6,390.2,878.79,4074
E7,374.4,832.93,2863.4
E8,407.7,832.73,3765.3
E9,422.1,1129.14,1319.7
E10,419.1,1026.83,2961.8
F1,445.1,1721.4,7200
F2,457.9,1763.8,7200
F3,481.8,1549.6,7200
F4,417.4,1420.4,7200
F5,452.3,1701.9,7200
F6,367.1,1639.7,7200
F7,408.1,1384.3,7200
F8,454.3,1544.6,7200
F9,426.8,1572.9,7200
F10,441.8,1581,7200
G1,455,2248,7200
G2,463.1,2316.1,7200
G3,464.3,1885.3,7200
G4,461.5,2023.2,7200
G5,449.4,2247.6,7200
G6,471.5,2144.4,7200
G7,459.1,1971.5,7200
G8,472.4,1987.4,7200
G9,473.3,2415.5,7200
G10,451.6,2373.4,7200
